Date,Time,Mockes Dam Level,MockesDamLevelpercent,RecommendedMaselspoortSupply,Maselspoort24hSupply,DATETIME,MockesFSC
00:00.0,1899-12-31 16:00:00.000,0,1,110,42,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0,1,110,41,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0,1,110,12,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0,1,110,0,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0,1,110,0,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0,1,110,11,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0,0.99,110,0,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0,0.99,110,0,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.095,0.94,110,43,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.03,0.98,110,46,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.099,0.94,110,45,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.044,0.97,110,45,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.067,0.96,110,44,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.044,0.97,110,44,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.072,0.96,110,39,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.049,0.97,110,38,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.072,0.96,110,43,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.081,0.95,110,45,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.049,0.97,110,44,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.081,0.95,110,44,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.067,0.96,110,32,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.072,0.96,110,2,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.058,0.97,110,0,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.085,0.95,110,0,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.044,0.97,110,0,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.085,0.95,110,44,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.049,0.97,110,44,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.072,0.96,110,44,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.076,0.95,110,44,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.076,0.95,110,30,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.049,0.97,110,17,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.085,0.95,110,0,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.058,0.97,110,0,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.067,0.96,110,0,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.058,0.97,110,0,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.067,0.96,110,42,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.044,0.97,110,41,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.021,0.99,110,43,00:00.0,100
00:00.0,1899-12-31 16:00:00.000,0.044,0.97,110,43,00:00.0,100
00:00.0,1899-12-31 08:00:00.000,0.049,0.97,110,38,00:00.0,100
