Date,Min,Max,90% percentile,10% percentile,75% percentile,25% percentile,Median,Average,
2-May,0,6.062,1.17,0,0.368,0,0.13,0.484555556,NO DATA
3-May,0,10.805,1.069,0,0.368,0,0.126,0.493111111,NO DATA
4-May,0,10.115,1.3442,0,0.368,0,0.126,0.667587302,NO DATA
5-May,0,28.918,2.7578,0,0.379,0,0.129,1.248746032,NO DATA
6-May,0,18.121,1.2882,0,0.393,0,0.121,0.978365079,NO DATA
7-May,0,10.533,1.661,0,0.368,0,0.13,0.823746032,NO DATA
8-May,0,10.639,1.3394,0,0.368,0,0.13,0.543492063,NO DATA
9-May,0,4.643,0.8252,0,0.368,0,0.13,0.383888889,NO DATA
10-May,0,6.721,1.1918,0,0.368,0,0.148,0.44931746,NO DATA
11-May,0,27.883,1.0772,0,0.368,0,0.157,1.221920635,NO DATA
12-May,0,47.026,1.96,0,0.3565,0,0.153,1.30768254,NO DATA
13-May,0,48.171,1.6784,0,0.368,0,0.152,1.366396825,NO DATA
14-May,0,48.171,1.4914,0,0.368,0,0.144,1.90668254,NO DATA
15-May,0,46.73,1.3506,0,0.368,0,0.154,1.665634921,NO DATA
16-May,0,28.803,3.6362,0,0.486,0,0.156,1.459190476,NO DATA
17-May,0,16.741,1.6466,0,0.368,0,0.146,1.089952381,NO DATA
18-May,0,13.085,2.6692,0,0.378,0,0.13,1.125,NO DATA
19-May,0,11.181,3.2456,0,0.374,0,0.153,1.052015873,NO DATA
20-May,0,14.187,3.3136,0,0.368,0,0.15,1.031507937,NO DATA
21-May,0,11.684,3.0196,0,0.368,0,0.146,0.91568254,NO DATA
22-May,0,10.391,2.439,0,0.368,0,0.14,0.785777778,NO DATA
23-May,0,8.04,0.8562,0,0.368,0,0.138,0.513444444,NO DATA
24-May,0,3.615,0.7138,0,0.356,0,0.152,0.31184127,NO DATA
25-May,0,8.943,0.5926,0,0.3285,0,0.141,0.401634921,NO DATA
26-May,0,3.091,0.5702,0,0.338,0,0.122,0.304793651,NO DATA
27-May,0,3.148,0.6856,0,0.304,0,0.121,0.277936508,NO DATA
28-May,0,3.853,1.0384,0,0.3225,0,0.124,0.417285714,NO DATA
29-May,0,13.016,1.069,0,0.3235,0,0.13,0.942888889,NO DATA
30-May,0,12.595,1.069,0,0.3525,0,0.129,0.940793651,NO DATA
31-May,0,13.085,1.1122,0,0.3365,0,0.13,0.975634921,NO DATA
1-Jun,0,13.085,0.9396,0,0.349,0,0.13,0.674126984,NO DATA
2-Jun,0,10.637,0.9466,0,0.283,0,0.128,0.562428571,NO DATA
3-Jun,0,5.068,0.755,0,0.3225,0,0.136,0.333333333,NO DATA
4-Jun,0,3.507,0.755,0,0.35,0,0.13,0.342904762,NO DATA
5-Jun,0,3.034,0.6856,0,0.327,0,0.124,0.295412698,NO DATA
6-Jun,0,3.034,0.6856,0,0.3335,0,0.128,0.272777778,NO DATA
7-Jun,0,3.034,0.6856,0,0.3325,0,0.136,0.279666667,NO DATA
8-Jun,0,47.039,0.6856,0,0.3475,0,0.144,1.107777778,NO DATA
9-Jun,0,48.171,0.703,0,0.3495,0,0.126,1.134222222,NO DATA
10-Jun,0,48.171,0.8266,0,0.368,0,0.128,1.298,NO DATA
11-Jun,0,40.779,0.8266,0,0.3535,0,0.129,1.046428571,NO DATA
12-Jun,0,22.554,0.755,0,0.337,0,0.141,0.665111111,NO DATA
13-Jun,0,13.971,0.8422,0,0.368,0,0.147,0.509666667,NO DATA
14-Jun,0,8.828,1.1986,0,0.365,0,0.146,0.55147619,NO DATA
15-Jun,0,6.586,1.0294,0,0.3665,0,0.139,0.434063492,NO DATA
16-Jun,0,10.223,0.9454,0,0.343,0,0.131,0.490031746,NO DATA
17-Jun,0,10.714,0.991,0,0.3515,0,0.124,0.50484127,NO DATA
18-Jun,0,10.548,0.9612,0,0.3345,0,0.113,0.615079365,NO DATA
19-Jun,0,10.447,0.8472,0,0.358,0,0.119,0.455380952,NO DATA
20-Jun,0,7.917,0.632,0,0.3025,0,0.111,0.382142857,NO DATA
21-Jun,0,2.49,0.6254,0,0.309,0,0.105,0.264063492,NO DATA
22-Jun,0,2.386,0.7102,0,0.3065,0,0.111,0.264190476,NO DATA
23-Jun,0,2.232,0.6856,0,0.3165,0,0.107,0.262619048,NO DATA
24-Jun,0,4.846,0.6034,0,0.2695,0,0.112,0.298174603,NO DATA
25-Jun,0,2.086,0.5952,0,0.2335,0,0.119,0.241968254,NO DATA
26-Jun,0,1.951,0.598,0,0.2405,0,0.112,0.214396825,NO DATA
27-Jun,0,1.951,0.5209,0,0.283,0,0.0975,0.211354839,NO DATA
28-Jun,0,1.951,0.5884,0,0.30275,0,0.113,0.21583871,NO DATA
29-Jun,0,10.371,0.6152,0,0.29275,0,0.1185,0.3725,NO DATA
30-Jun,0,10.624,0.632,0,0.2975,0,0.1165,0.519032258,NO DATA
1-Jul,0,9.267,0.632,0,0.298,0,0.093,0.474920635,0.37
2-Jul,0,8.584,0.6032,0,0.3075,0,0.09,0.330253968,0.357
3-Jul,0,1.951,0.4984,0,0.276,0,0.095,0.196666667,0.382333333
4-Jul,0,1.951,0.5632,0,0.267,0,0.084,0.200603175,0.416583333
5-Jul,0,11.496,0.6268,0,0.30125,0,0.0925,0.48866129,0.419
6-Jul,0,11.61,0.6164,0,0.278,0,0.11,0.439698413,0.41775
7-Jul,0,7.06,0.6202,0,0.307,0,0.093,0.320142857,0.42175
8-Jul,0,3.976,0.5322,0,0.299,0,0.109,0.295920635,0.40575
9-Jul,0,12.683,0.492,0,0.292,0,0.099,0.428571429,0.436166667
10-Jul,0,9.803,0.6064,0,0.309,0,0.111,0.523984127,0.477916667
11-Jul,0,5.367,0.6064,0,0.3275,0,0.114,0.344952381,0.408833333
12-Jul,0,2.551,0.6064,0,0.3055,0,0.118,0.278,0.516166667
13-Jul,0,1.951,0.6064,0,0.318,0,0.116,0.260904762,0.41175
14-Jul,0,1.951,0.7624,0,0.364,0,0.122,0.284714286,0.383333333
15-Jul,0,20.744,0.6162,0,0.3505,0,0.128,0.57984127,0.37825
16-Jul,0,1.951,0.7416,0,0.334,0,0.124,0.28384127,0.34225
17-Jul,0,10.5,0.7416,0,0.367,0,0.125,0.55968254,0.410666667
18-Jul,0,10.429,0.735,0,0.335,0,0.115,0.561619048,0.354
19-Jul,0,10.343,0.7286,0,0.281,0,0.13,0.550079365,0.399416667
20-Jul,0,4.666,0.7668,0,0.3245,0,0.124,0.351111111,0.389833333
21-Jul,0,10.516,0.7238,0,0.3325,0,0.113,0.405952381,0.35875
22-Jul,0,10.637,0.7246,0,0.3025,0,0.097,0.547888889,0.35275
23-Jul,0,7.815,0.7006,0,0.327,0,0.107,0.444857143,0.2845
24-Jul,0,1.808,0.4828,0,0.315,0,0.13,0.217650794,0.305166667
25-Jul,0,2.347,0.5548,0,0.303,0,0.13,0.249603175,0.32875
26-Jul,0,17.201,0.995,0,0.343,0,0.13,0.549,0.371333333
27-Jul,0,9.941,0.6858,0,0.31525,0,0.123,0.392435484,0.3345
28-Jul,0,9.929,0.5859,0,0.315,0,0.1185,0.376112903,0.3425
29-Jul,0,6.696,0.6726,0,0.368,0,0.13,0.34247619,0.310083333
30-Jul,0,9.077,0.5718,0,0.317,0,0.13,0.364888889,0.352166667
31-Jul,0,9.22,0.5544,0,0.319,0,0.13,0.359412698,0.353833333
1-Aug,0,8.429,0.5544,0,0.3275,0,0.1,0.344920635,0.353583333
2-Aug,0,1.488,0.5544,0,0.323,0,0.118,0.227857143,0.347333333
3-Aug,0,1.488,0.5544,0,0.295,0,0.133,0.216142857,0.328333333
4-Aug,0,1.401,0.5596,0,0.3085,0,0.099,0.21131746,0.334833333
5-Aug,0,10.727,0.6812,0,0.3545,0,0.094,0.384714286,0.345083333
6-Aug,0,11.016,0.9006,0,0.363,0,0.1,0.533015873,0.300166667
7-Aug,0,11.222,0.8294,0,0.355,0,0.124,0.547412698,0.265333333
8-Aug,0,11.759,0.7902,0,0.368,0,0.106,0.715095238,0.272
9-Aug,0,10.589,0.7642,0,0.3595,0,0.108,0.561587302,0.342083333
10-Aug,0,1.467,0.567,0,0.3055,0,0.115,0.223984127,0.3305
11-Aug,0,1.069,0.5544,0,0.2995,0,0.1,0.209111111,0.29975
12-Aug,0,1.834,0.599,0,0.3085,0,0.093,0.225968254,0.305
13-Aug,0,6.818,0.567,0,0.311,0,0.124,0.308031746,0.3525
14-Aug,0,11.979,0.5592,0,0.2905,0,0.11,0.387571429,0.345916667
15-Aug,0,2.227,0.5248,0,0.277,0,0.105,0.228428571,0.324083333
16-Aug,0,1.069,0.5096,0,0.277,0,0.097,0.199031746,0.356666667
17-Aug,0,1.069,0.504,0,0.295,0,0.102,0.195365079,0.348
18-Aug,0,13.644,0.4986,0,0.281,0,0.106,0.395,0.328916667
19-Aug,0,20.139,0.5012,0,0.266,0,0.09,0.487174603,0.316916667
20-Aug,0,5.827,0.5034,0,0.2895,0,0.075,0.260603175,0.351333333
21-Aug,0,2.773,0.4992,0,0.2685,0,0.07,0.20468254,0.399416667
22-Aug,0,4.693,0.504,0,0.2665,0,0.073,0.249031746,0.3865
23-Aug,0,6.637,0.6056,0,0.2875,0,0.09,0.289095238,0.349
24-Aug,0,9.803,0.6336,0,0.309,0,0.083,0.37615873,0.338083333
